Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
973|2011-02-14 00:00:00|Общество с ограниченной ответственностью «1С-Рарус Челябинск»|1027402898049|1027402898049|7451188220|№ 15 от 14.02.2011|08.04.2019 полное наименование организации изменено с «Общество с ограниченной ответственностью «СофтСервис» на «Общество с ограниченной ответственностью «1С-Рарус Челябинск», (Савинова О.О.)|ул. Труда, д. 91, оф. 308, г. Челябинск, Челябинская обл., 454091
974|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Деснол Софт Брянск»|1043244011910|1043244011910|3250056065|№ 15 от 14.02.2011||ул. Красноармейская, д. 136, корп. Б, г. Брянск, Брянская обл., 241019
975|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Альтернатива Гейм»|1065906035568|1065906035568|5906071031|№ 15 от 14.02.2011||ул. Голева, д. 9А, г. Пермь, Пермский край, 614081
976|2011-02-14 00:00:00|Общество с ограниченной ответственностью «СистемаСофт»|1027100747640|1027100747640|7106040990|№ 15 от 14.02.2011||ул. Болдина, д. 41А, пом. 47, оф. 18-20, г. Тула, Тульская обл., 300013
977|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Системы документооборота»|1091690045831|1091690045831|1660130174|№ 15 от 14.02.2011||ул. Космонавтов, д. 41Б, г. Казань, Респ. Татарстан, 420061
978|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АйТи-Лайн»|1101690067566|1101690067566|1655204335|№ 15 от 14.02.2011|10.03.2020 полное наименование организации изменено с «Общество с ограниченной ответственностью «БАРС-Груп» на «Общество с ограниченной ответственностью «АйТи-Лайн», (Савинова О.О.)|ул. Петербургская, д. 86А, офис 21, г. Казань, Респ. Татарстан, 420107
979|2011-02-14 00:00:00|Закрытое акционерное общество «КАЛУГА АСТРАЛ»|1024001434049|1024001434049|4029017981|№ 15 от 14.02.2011||пер. Теренинский, д. 6, г. Калуга, Калужская обл., 248023
980|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Интеллект Технологии»|1037101141450|1037101141450|7107076439|№ 15 от 14.02.2011||ул. Болдина, д. 41А, пом. 47, оф. 5-8, г. Тула, Тульская обл., 300013
981|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Интелком»|1097154027321|1097154027321|7107519828|№ 15 от 14.02.2011||пр-т Ленина, д. 77, г. Тула, Тульская обл., 300012
982|2011-02-14 00:00:00|Общество с ограниченной ответственностью «БАРС Медицина»|1101690050527|1101690050527|1655199580|№ 15 от 14.02.2011||ул. Петербургская, д. 52, г. Казань, Респ. Татарстан, 420107
983|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Инновационные Системы Управления»|1061655055527|1061655055527|1655109240|№ 15 от 14.02.2011||ул. Петербургская, д. 52, г. Казань, Респ. Татарстан, 420107
985|2011-02-14 00:00:00|Государственное унитарное предприятие Республики Татарстан «Центр информационных технологий Республики Татарстан»|1091690014712|1091690014712|1655174024|№ 15 от 14.02.2011||ул. Петербургская, д. 52, г. Казань, Респ. Татарстан, 420107
986|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ГЛОНАСС+112»|1101690040297|1101690040297|1660142130|№ 15 от 14.02.2011||ул. Космонавтов, д. 41Б, г. Казань, Респ. Татарстан, 420061
987|2011-02-14 00:00:00|Открытое акционерное общество «Современные Интернет Технологии»|1021602852116|1021602852116|1655050928|№ 15 от 14.02.2011||ул. Восстания, д. 100, Республика Татарстан, г. Казань, 420095
988|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИНФОМАТ»|1101690003590|1101690003590|1655187496|№ 15 от 14.02.2011 (в ред. от 17.08.2015 № 300)||ул. Петербургская, д. 52, г. Казань, Респ. Татарстан, 420107
989|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Друг компании»|1091690015691|1091690015691|1659091474|№ 15 от 14.02.2011||ул. Петербургская, д. 52, г. Казань, Респ. Татарстан, 420107
990|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Фрегат-М»|1092455000142|1092455000142|2455028726|№ 15 от 14.02.2011||ул. Гоголя, д. 60, оф. 112, г. Минусинск, Красноярский край, 662600
991|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АС-Инновации»|1106952030778|1106952030778|6950125915|№ 15 от 14.02.2011||ул. Советская, д. 29, пом. 3, г. Тверь, Тверская обл., 170000
992|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Темаск-Информ»|1025501245109|1025501245109|5506034684|№ 15 от 14.02.2011||ул. Маяковского, д. 81, г. Омск, Омская обл., 644010
993|2011-02-14 00:00:00|Общество с ограниченной ответственностью «МПП РУС»|1089847318483|1089847318483|7810526637|№ 15 от 14.02.2011||пр-кт Юрия Гагарина, д. 1, оф. 455, г. Санкт-Петербург, 196105
994|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ЭйчЭлСевен»|1093123007548|1093123007548|3123198324|№ 15 от 14.02.2011||ул. Королева, д. 2а, оф. 702, г. Белгород, Белгородская обл., 308034
995|2011-02-14 00:00:00|Общество с ограниченной ответственностью «МС ТИМ»|1035403650985|1035403650985|5408220273|№ 15 от 14.02.2011||ул. Кутателадзе, д. 4Г, оф. 232, г. Новосибирск, Новосибирская обл., 630128
996|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Удачный ход»|1093123007405|1093123007405|3123198187|№ 15 от 14.02.2011||ул. Королева, д. 2а, оф. 702, г. Белгород, Белгородская обл., 308034
997|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр правовой информатизации»|1093123007526|1093123007526|3123198317|№ 15 от 14.02.2011||ул. Королева, д. 2а, оф. 702, г. Белгород, Белгородская обл., 308034
998|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Инфосьют сервис»|5107746004856|5107746004856|7717689066|№ 15 от 14.02.2011 ( в ред. от 31.03.2014 № 70)|06.12.2017 полное наименование организации изменено с «Общество с ограниченной ответственностью «1С:Сервис» на «Общество с ограниченной ответственностью «Инфосьют сервис», (Савинова О.О.)|пер. Графский, д. 9, стр. 2, г. Москва, 129626
